"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","RT @CNN: UK politician Nigel Farage says Donald Trump looked like a ""silverback gorilla"" who ""dominated"" Hillary Clinton https://t.co/dmhvx…",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630991759081472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DianeMarieMatto",218,TRUE,FALSE,NA,NA
"12","Donald trump quotes the Backstreet Boys!! https://t.co/3nfQCXJLi8",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630991532503040",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HigherThoughts1",0,FALSE,FALSE,NA,NA
"13","@mashable Dear Donald Trump: Some gentlemanly advice: Dear Donald — I was delighted to hear your de... https://t.co/4nonvuHOzT #mashable",FALSE,0,"mashable",2016-10-10 23:59:58,FALSE,NA,"785630989393403904","972651","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","aaljaouni",0,FALSE,FALSE,NA,NA
"14","RT @kurteichenwald: Folks: Wikileaks is compromised. Russia knew exactly where to look to take my words &amp; put them in HRC friend's mouth ht…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630988739092484",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Atticus_Amber",1787,TRUE,FALSE,NA,NA
"15","The Campaign's Least Surprising ‘Surprise’: Trump's sexist behavior has been documented--over and over (and over)  https://t.co/IVW7U6EMHn",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630988655136768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peterelkind",0,FALSE,FALSE,NA,NA
"16","RT @SvanteMyrick: I think I speak for nearly every other Mayor in the US. 

Keep Donald Trump away from my inner city. 

He knows nothing,…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630988651098112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kak9753",180,TRUE,FALSE,NA,NA
"17","RT @kurteichenwald: Folks: Wikileaks is compromised. Russia knew exactly where to look to take my words &amp; put them in HRC friend's mouth ht…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630987870957569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","carbarnh",1787,TRUE,FALSE,NA,NA
"18","RT @CelesteKatzNYC: Mike Pence campaign events just vanished from Donald Trump's website https://t.co/o6x79NLDIg via @Mic #trumptapes",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630987828899840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ToddLytle",947,TRUE,FALSE,NA,NA
"19","#usa #election

Post trump movement https://t.co/kUYe55V3DT",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630987547844610",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","VeltmanSG",0,FALSE,FALSE,NA,NA
"20","RT @kurteichenwald: By releasing an email with my words -- and pretending they came from Clinton advisor - Putin has shown his hand. https:…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630987459829766",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","freelancewoman",5578,TRUE,FALSE,NA,NA
"21","RT @TheDailyShow: Donald Trump in 2010: “This is my boardroom. It's not a locker room. Maria, you’re fired.” ¯\_(ツ)_/¯ https://t.co/UlsP9Xj…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630987132792832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsSuperVillain",7261,TRUE,FALSE,NA,NA
"22","RT @retrosher: LOOK-SOCIOPATH...Donald Trump's weird physical aggression does not look less weird or aggressive the morning after https://t…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630987048804352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Candi151",3,TRUE,FALSE,NA,NA
"23","RT @kurteichenwald: My words, supposedly out of @johnpodesta emails, are NOT Oct surprise. Russian govnt in its effort 2 help trump lied ht…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630986876751875",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrSallyRides",441,TRUE,FALSE,NA,NA
"24","RT @mmpadellan: Wait, so Ryan won't ""defend"" or campaign w/#Trump, but he'll still endorse AND vote for him? 
How does THAT work?
https://t…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630986801414148",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NewsOfMideast",62,TRUE,FALSE,NA,NA
"25","RT @PolitiFact: Clinton in 1975 represented a man accused of raping a 12-year-old, Trump said she laughed at victim. That's False. https://…",FALSE,0,NA,2016-10-10 23:59:58,FALSE,NA,"785630986541203456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jarianatori",387,TRUE,FALSE,NA,NA
