"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2499","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-05 12:58:25,FALSE,NA,"783652563698618368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lennardmarcz",533,TRUE,FALSE,NA,NA
"2500","RT @ABSCBNNews: Senator Leila de Lima on Senator Miriam Defensor Santiago: She has personified the strength of women. | via @adrianayalin #…",FALSE,0,NA,2016-10-05 12:57:51,FALSE,NA,"783652422136631296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JhoannaSylio",39,TRUE,FALSE,NA,NA
"2501","RT @MMKOfficial: Bilang isang pagpupugay, ating balikan ang kwento ni Senator Miriam Defensor-Santiago ngayong Sabado. #MMKSenatorMiriam #M…",FALSE,0,NA,2016-10-05 12:55:45,FALSE,NA,"783651891523780608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diosaysarah",97,TRUE,FALSE,NA,NA
"2502","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-05 12:53:19,FALSE,NA,"783651280312864768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acebuche_awen",533,TRUE,FALSE,NA,NA
"2503","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-05 12:49:05,FALSE,NA,"783650216037584896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ljmrls_",61,TRUE,FALSE,NA,NA
"2504","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-05 12:42:51,FALSE,NA,"783648648567545856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leanahtanluap",533,TRUE,FALSE,NA,NA
"2505","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-05 12:40:29,FALSE,NA,"783648049121796096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeeNOdin",533,TRUE,FALSE,NA,NA
"2506","RT @soshikeychain: 14 Inspirational Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KUoBWC297F the best huhu",FALSE,0,NA,2016-10-05 12:39:07,FALSE,NA,"783647708321951744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ohkimtaes",6,TRUE,FALSE,NA,NA
"2507","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-05 12:37:23,FALSE,NA,"783647270755454976",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mrsfishie15",533,TRUE,FALSE,NA,NA
"2508","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-05 12:33:19,FALSE,NA,"783646247538135040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","threeneuf",61,TRUE,FALSE,NA,NA
